action,name,phone,email,service,agency
Leave,Bradley Dalton,161-4122,morbi.neque.tellus@icloud.net,Accounting,Paris
Leave,Macon Hatfield,1-292-272-6258,mauris@google.org,Accounting,Paris
Add,Hiram Casey,531-3614,hendrerit.a@google.org,Human Ressources,Barcelona
Leave,Jane Glover,1-717-888-6876,nulla@aol.net,Tech Support,Dublin
Leave,Brian Mccoy,1-785-552-2130,tincidunt.tempus.risus@icloud.net,Legal Advisory,Berlin
Leave,Eve Sexton,257-5572,fermentum@google.ca,Management,Lyon
Leave,Caleb Pearson,1-275-112-1611,cursus@google.com,Accounting,Berlin
Leave,Echo Bright,1-713-643-2175,semper@icloud.com,Office Management,Paris
Add,Carl Goodman,1-674-431-7482,mollis.vitae@protonmail.net,IT,Nantes
Leave,Breanna Mckay,1-601-421-8816,mi.felis@outlook.net,IT,Marseille
Leave,Derek Hughes,625-3364,lacus.ut@hotmail.org,Legal Advisory,Nantes
Add,Armando Slater,875-4426,aenean.eget.metus@protonmail.com,Human Ressources,Dublin
Leave,Nadine Bowen,1-273-281-8284,ut.pellentesque@icloud.com,Office Management,Barcelona
Add,Craig Vazquez,922-8505,ipsum@yahoo.ca,IT,Marseille
Add,Nichole Salas,1-386-328-6105,odio.sagittis@hotmail.com,Human Ressources,Madrid
Leave,Prescott Mayer,327-7433,eros.non.enim@outlook.com,Accounting,London
Add,Garth O'connor,1-801-365-3407,nisi.aenean.eget@aol.edu,Customer Relation,Paris
Leave,Jaden Lee,1-380-826-7454,eros.nam.consequat@aol.couk,Management,Marseille
Add,Whitney Rogers,571-7006,egestas.fusce@google.net,Human Ressources,Madrid
Add,Daphne Sweet,244-2268,nulla@google.ca,Sales,Marseille
Add,Elvis Cummings,1-635-154-4375,maecenas.malesuada@icloud.ca,Sales,San Francisco
Add,Charity Daniels,518-4516,dictum.proin@outlook.com,Customer Relation,Dublin
Leave,Mari Sharpe,268-6281,sagittis.lobortis@google.ca,Human Ressources,London
Add,Sawyer Bernard,1-144-212-6437,nullam.lobortis@google.ca,Office Management,Madrid
Add,Byron Patel,121-4645,nulla.in.tincidunt@aol.com,Human Ressources,London
Add,Dexter Rich,345-7277,molestie.sodales.mauris@yahoo.org,Sales,Madrid
Add,Leandra Bright,764-1323,purus@protonmail.net,Accounting,London
Add,Tatiana Farley,1-827-749-8225,arcu.imperdiet@aol.couk,Management,Nantes
Add,Cameron Bird,272-3562,ut.eros@outlook.ca,Management,Madrid
Leave,Ezekiel Lowe,1-262-835-7535,semper.erat@aol.edu,Legal Advisory,Nantes
Add,Angelica Eaton,632-2164,ante.ipsum@google.ca,Tech Support,Madrid
Leave,Carissa Bridges,1-661-790-5118,lorem.ipsum@yahoo.ca,IT,Madrid
Leave,Moses Sims,645-5545,convallis.ligula@hotmail.net,Accounting,Paris
Leave,Sage King,1-121-735-1579,in.lorem.donec@aol.edu,Management,Dublin
Add,Noel Sargent,1-569-488-7405,magna@hotmail.couk,Sales,Paris
Leave,Amaya Vance,245-8256,risus@protonmail.net,IT,Dublin
Leave,Kane Wagner,1-292-201-7462,dolor.fusce@aol.ca,Customer Relation,Marseille
Add,Phyllis May,407-4688,nec.ligula.consectetuer@yahoo.couk,Customer Relation,Berlin
Leave,Jonas Coleman,1-722-481-5716,dictum.augue@google.net,Customer Relation,Nantes
Add,Indira Holder,1-446-445-7366,diam.duis@yahoo.com,Management,Barcelona
Leave,Todd Christian,1-449-731-7150,parturient.montes.nascetur@icloud.couk,Management,Dublin
Leave,Iliana Rich,420-6841,sed.nulla@google.org,Tech Support,Barcelona
